,GEOID,year,m_income,m_inc_group,med3_over_total,m_rent,m_rent_group,med3_rent,m_own,m_own_group,med3_own,perc_white,perc_poverty,perc_o25_ed,owner_occ,rent_occ,rent_vac,temp_vac,other_vac
1995,14000US36081119500,2012,85833.0,11,0.5068807339449541,1718.0,19,0.8875,622800.0,21,0.899135446685879,0.49008498583569404,0.0,0.6940222897669707,0.701010101010101,0.1797979797979798,0.05656565656565657,0.0,0.06262626262626263
1996,14000US36081119900,2012,53194.0,9,0.18446601941747573,1399.0,18,0.4968553459119497,674200.0,21,0.901685393258427,0.18782608695652173,0.07766990291262135,0.6160862354892206,0.6379928315412187,0.2849462365591398,0.05555555555555555,0.021505376344086023,0.0
1997,14000US36081120100,2012,50000.0,9,0.102880658436214,1135.0,17,0.40384615384615385,655800.0,21,0.8069620253164557,0.25505226480836235,0.22839506172839505,0.5439770554493308,0.5984848484848485,0.32196969696969696,0.04734848484848485,0.022727272727272728,0.00946969696969697
1998,14000US36081120300,2012,70341.0,10,0.1464968152866242,1695.0,19,0.9056603773584906,735300.0,21,0.7292817679558011,0.15713425647200482,0.11889596602972399,0.5878594249201278,0.6791744840525328,0.2045028142589118,0.0675422138836773,0.0,0.04878048780487805
1999,14000US36081120500,2012,24750.0,3,0.20686175580222,1006.0,17,0.34542586750788645,739300.0,21,0.840531561461794,0.11155091759625764,0.29162462159434915,0.46185472818638645,0.28942307692307695,0.6634615384615384,0.01826923076923077,0.0,0.028846153846153848
2000,14000US36081120700,2012,92500.0,11,0.39403973509933776,1580.0,19,0.7407407407407407,625700.0,21,0.9496124031007752,0.36013071895424836,0.10816777041942605,0.5442827442827443,0.5386221294363257,0.407098121085595,0.030271398747390398,0.0,0.024008350730688934
2002,14000US36081121500,2012,57653.0,9,0.2911908646003263,1308.0,18,0.7194570135746606,544700.0,21,0.8599167822468793,0.207538052669727,0.14518760195758565,0.5449000338868181,0.5153681200857756,0.36097212294496067,0.10578984989278056,0.012151536812008578,0.005718370264474625
2003,14000US36081122300,2012,75738.0,11,0.4041368337311058,1647.0,19,0.7476280834914611,648900.0,21,0.8904299583911235,0.3704370179948586,0.09864757358790771,0.5680977054034049,0.5593483320403414,0.41582622187742435,0.0,0.0,0.02482544608223429
2004,14000US36081122701,2012,51324.0,9,0.3091881380651434,1137.0,17,0.6124813153961136,460000.0,20,0.6258692628650904,0.3020734259083127,0.08969372873116188,0.5700483091787439,0.3264472190692395,0.6074914869466516,0.027468785471055617,0.017253121452894437,0.02133938706015891
2005,14000US36081122702,2012,18177.0,2,0.2416206261510129,511.0,9,0.20398836726215205,426500.0,20,0.4618055555555556,0.19302141157811262,0.4390423572744015,0.49976156413924655,0.10194690265486726,0.8591150442477876,0.03893805309734513,0.0,0.0
2006,14000US36081124100,2012,63500.0,10,0.30183946488294316,1457.0,18,0.3707865168539326,585200.0,21,0.8803512623490669,0.5277286135693215,0.15635451505016723,0.6615318784766795,0.6970160673297628,0.2180566182096404,0.026778882938026015,0.026013771996939557,0.032134659525631215
2007,14000US36081124700,2012,97644.0,11,0.33112582781456956,1692.0,19,0.864516129032258,609900.0,21,0.9238187078109933,0.5452614812848421,0.09933774834437085,0.713303679741205,0.8534979423868313,0.14074074074074075,0.0,0.0,0.005761316872427984
2008,14000US36081125700,2012,43092.0,7,0.21465428276573786,1274.0,18,0.7080610021786492,595000.0,21,0.9349240780911063,0.17050543825975686,0.14860681114551083,0.5450819672131147,0.43572778827977315,0.48015122873345933,0.06427221172022685,0.0,0.01984877126654064
2009,14000US36081126500,2012,53125.0,9,0.1643835616438356,971.0,16,0.5325670498084292,499300.0,20,0.8934169278996865,0.23577749683944374,0.1404109589041096,0.5960820895522388,0.5343383584589615,0.4438860971524288,0.0,0.0,0.021775544388609715
2010,14000US36081126700,2012,76821.0,11,0.5076071922544951,1292.0,18,0.5448275862068965,545600.0,21,0.8615916955017301,0.3259059745347698,0.09266943291839558,0.7344782034346103,0.7758389261744967,0.19463087248322147,0.022818791946308724,0.0,0.006711409395973154
2011,14000US36081127700,2012,102813.0,12,0.22084805653710246,1887.0,19,1.0,883300.0,22,0.9152371342078708,0.7502141021981159,0.02120141342756184,0.808965228320067,0.8513745704467354,0.1211340206185567,0.0,0.0,0.027491408934707903
2012,14000US36081128300,2012,133036.0,13,0.6363636363636364,,30,0.0,133900.0,14,1.0,0.8888888888888888,0.0,0.5,0.8181818181818182,0.18181818181818182,0.0,0.0,0.0
2013,14000US36081129102,2012,106420.0,12,0.3884648006785411,1813.0,19,0.7971014492753623,620800.0,21,0.7705667276051188,0.7333125389893949,0.041560644614079725,0.7426376440460948,0.8945216680294358,0.06950122649223221,0.0,0.0,0.035977105478331974
2014,14000US36081129103,2012,68162.0,10,0.3151878062057703,1040.0,17,0.4035608308605341,199600.0,16,0.5053981106612686,0.702159124519373,0.08982035928143713,0.7121266642677222,0.7340267459138187,0.17582961862308075,0.012382367508667657,0.012382367508667657,0.06537890044576523
2015,14000US36081129104,2012,78092.0,11,0.44467108618052015,922.0,16,0.4642857142857143,253300.0,18,0.603480422622747,0.5753680766534237,0.09688934217236105,0.7101495386573338,0.7953534354918438,0.17399901136925358,0.02422145328719723,0.0,0.006426099851705388
2016,14000US36081130100,2012,69375.0,10,0.29225589225589227,1139.0,17,0.49748743718592964,225900.0,17,0.2566158781074579,0.3435277382645804,0.10303030303030303,0.6080508474576272,0.7530193236714976,0.14371980676328502,0.019927536231884056,0.006642512077294686,0.07669082125603864
2017,14000US36081133300,2012,88315.0,11,0.32791956689868523,1708.0,19,0.8446215139442231,638900.0,21,0.9273797841020608,0.5079155672823219,0.07037896365042537,0.7387253074916139,0.7125874125874125,0.1916083916083916,0.032867132867132866,0.012587412587412588,0.05034965034965035
2018,14000US36081133900,2012,98500.0,11,0.36893203883495146,2001.0,20,1.0,621300.0,21,0.9272727272727272,0.518836748182419,0.09466019417475728,0.7440944881889764,0.8244111349036403,0.057815845824411134,0.0,0.0,0.11777301927194861
2019,14000US36081134100,2012,84909.0,11,0.47619047619047616,1417.0,18,0.5821917808219178,625000.0,21,0.9036585365853659,0.28962628865979384,0.050724637681159424,0.6628062360801782,0.8,0.1424390243902439,0.027317073170731707,0.0,0.03024390243902439
2020,14000US36081134700,2012,46476.0,8,0.18537458450524164,1479.0,18,0.8337229690239626,476800.0,20,0.58298755186722,0.190992835209826,0.16287394528253643,0.7391501587781643,0.11978131212723658,0.8521371769383698,0.019880715705765408,0.0,0.008200795228628231
2021,14000US36081136700,2012,63708.0,10,0.3804838048380484,1600.0,19,0.7842003853564548,276800.0,18,0.4303730951129795,0.3799170124481328,0.07257072570725707,0.6846730975348339,0.7569610182975338,0.21320604614160701,0.0,0.013524264120922832,0.016308671439936355
2022,14000US36081137700,2012,66768.0,10,0.34676742233417296,1561.0,19,0.6695804195804196,456600.0,20,0.35596170583115755,0.26667657108899123,0.1439966414777498,0.6767063921993499,0.4777546777546778,0.5126819126819127,0.0,0.0,0.009563409563409564
2023,14000US36081138501,2012,80250.0,11,0.37647877522616563,1675.0,19,0.8351893095768375,740800.0,21,0.8331503841931943,0.28871508379888267,0.116214335421016,0.6014939915556999,0.6005273566249176,0.34673698088332233,0.017798286090969017,0.013843111404087014,0.02109426499670402
2025,14000US36081139900,2012,93306.0,11,0.26508226691042047,,30,0.0,672300.0,21,0.933579335793358,0.49906542056074765,0.0603290676416819,0.6468315301391035,0.9170896785109983,0.008460236886632826,0.01353637901861252,0.011844331641285956,0.049069373942470386
2026,14000US36081140300,2012,79671.0,11,0.40673886883273164,2001.0,20,0.6643835616438356,573700.0,21,0.8988095238095238,0.2560882800608828,0.08904933814681107,0.5912017167381974,0.7697594501718213,0.18213058419243985,0.0,0.0,0.048109965635738834
2027,14000US36081140901,2012,56375.0,9,0.24375,1125.0,17,1.0,629400.0,21,0.9210526315789473,0.27856365614798695,0.08125,0.6740412979351033,0.95,0.05,0.0,0.0,0.0
